term,frequency,percentage
geschlecht,1,0.189
einfach,1,0.189
verbergen“,1,0.189
beanstandeten,1,0.189
gekommen,1,0.189
kontakt,1,0.189
zurecht-,1,0.189
beklagte,1,0.189
beziehungen,1,0.189
jungen,1,0.189
verwunderung,1,0.189
sorgen,1,0.189
„priesterliches,1,0.189
ansehen,1,0.189
völlig“,1,0.189
zerstörten,1,0.189
„bei,1,0.189
aufzwänge].“,1,0.189
zeit-,1,0.189
zeugin,1,0.189
pflicht,1,0.189
hinzuweisen,1,0.189
dern,1,0.189
zeitzeuginnen,1,0.189
berichten,1,0.189
…«,1,0.189
e,1,0.189
gerne,1,0.189
flirtete,1,0.189
guter,1,0.189
tänzer,1,0.189
eindruck,1,0.189
vermittelte,1,0.189
schwul,1,0.189
„der,1,0.189
wirklich,1,0.189
menge,1,0.189
hochbeweglicher,1,0.189
kopf,1,0.189
charmante,1,0.189
art,1,0.189
eigentlich,1,0.189
bisschen,1,0.189
flirty,1,0.189
irgendwie,1,0.189
annähernd,1,0.189
geschäft,1,0.189
schwule,1,0.189
tanzmaus,1,0.189
echt,1,0.189
möglicherweise,1,0.189
richtig,1,0.189
schließlich,1,0.189
sog,1,0.189
grabbelproblem,1,0.189
dauerdelirium,1,0.189
wohl,1,0.189
wollten,1,0.189
irgendwann,1,0.189
geholt,1,0.189
betastet,1,0.189
darauf,1,0.189
angesprochen,1,0.189
erklärt,1,0.189
petronella,1,0.189
s,1,0.189
chile,1,0.189
putzdienste,1,0.189
for-,1,0.189
»angegrabbelt«,1,0.189
wurde,1,0.189
eltern,1,0.189
vorfall,1,0.189
»unter,1,0.189
teppich,1,0.189
gekehrt«,1,0.189
offenbar,1,0.189
information,1,0.189
kirchenverantwortliche,1,0.189
erfolgte,1,0.189
bleibt,1,0.189
fakt,1,0.189
gerade,1,0.189
pater,1,0.189
zeit,1,0.189
bewegt,1,0.189
vorher,1,0.189
geschehen,1,0.189
sorge,1,0.189
sinti,1,0.189
roma,1,0.189
men,1,0.189
aufbau,1,0.189
der-,1,0.189
jugendgruppen,1,0.189
gottesdienstgestaltung,1,0.189
ansätze,1,0.189
sakramentkatechese,1,0.189
ferienfreizeiten,1,0.189
zusammen-,1,0.189
arbeit,1,0.189
elisabethschule,1,0.189
u.a,1,0.189
förderung,1,0.189
projektes,1,0.189
befinden,1,0.189
unauffindbar,1,0.189
erhob,1,0.189
v,1,0.189
vorwurf,1,0.189
intimes,1,0.189
m,1,0.189
laut,1,0.189
schwangerschaftsabbruch,1,0.189
niederlanden,1,0.189
gehol-,1,0.189
fen,1,0.189
verschwinden,1,0.189
verrichtete,1,0.189
beschuldigte,1,0.189
vergangenen,1,0.189
10,1,0.189
27-jährige,1,0.189
miss-,1,0.189
brauchs,1,0.189
beschuldige,1,0.189
anvertraut,1,0.189
gab,1,0.189
etwa,1,0.189
vier,1,0.189
kenne,1,0.189
kindern,1,0.189
wie­,1,0.189
derkehrenden,1,0.189
besucher,1,0.189
tun,1,0.189
gebieten,1,0.189
sogar,1,0.189
mädchens,1,0.189
opfer,1,0.189
sexualisierter,1,0.189
übergriffe,1,0.189
nenne,1,0.189
heute,1,0.189
ländlichen,1,0.189
meindemitglieder,1,0.189
setze,1,0.189
pädagogischen,1,0.189
therapeutischen,1,0.189
fähigkeiten,1,0.189
aufzwinge].“,1,0.189
z,1,0.189
b,1,0.189
verhalten,1,0.189
mehrere,1,0.189
alkoholabhängige,1,0.189
clean,1,0.189
braut,1,0.189
wurden,1,0.189
gasthaus,1,0.189
öffentlich,1,0.189
bluse,1,0.189
gegriffen,1,0.189
nachricht,1,0.189
gesagt,1,0.189
schöne,1,0.189
welt…,1,0.189
mal,1,0.189
involviert,1,0.189
