,term,frequency,percentage
389,überhöhten,1,0.114
390,dahinter,1,0.114
391,pfar-,1,0.114
392,birgt,1,0.114
393,klassische,1,0.114
394,täterstrategie,1,0.114
395,verstrickung,1,0.114
396,näheren,1,0.114
397,umfelds,1,0.114
398,unent-,1,0.114
399,behrlichmachens,1,0.114
400,»kämpferischen,1,0.114
401,verbrüderung«,1,0.114
402,sinne,1,0.114
403,»wir,1,0.114
404,die«,1,0.114
405,wenig,1,0.114
406,überraschend,1,0.114
407,sämtliche,1,0.114
408,rer,1,0.114
409,vereinzelt,1,0.114
410,taten,1,0.114
411,leugnete,1,0.114
412,zu-,1,0.114
413,mindest,1,0.114
414,fall,1,0.114
415,belegbar,1,0.114
416,gerichteten,1,0.114
417,„keine,1,0.114
418,nutzte,1,0.114
419,massiv,1,0.114
420,agitieren,1,0.114
421,wobei,1,0.114
422,schamgrenzen,1,0.114
423,überschritt,1,0.114
424,verschwörungstheorien,1,0.114
425,entwickelte,1,0.114
426,wiederholten,1,0.114
427,größeren,1,0.114
428,geschenken,1,0.114
429,anhörung,1,0.114
430,fälle,1,0.114
431,ebenso,1,0.114
432,enkeltochter,1,0.114
433,ahnung“,1,0.114
434,erinnern,1,0.114
435,beziehung,1,0.114
436,„vermeintlichen,1,0.114
437,schützen,1,0.114
438,sorgeberechtigt,1,0.114
439,öffnet,1,0.114
440,gegenüber,1,0.114
441,loyalität,1,0.114
442,konkurriert,1,0.114
443,verletztheit,1,0.114
444,vertraut,1,0.114
445,offensichtlich,1,0.114
446,darauf,1,0.114
447,formuliert,1,0.114
448,dreist,1,0.114
449,neues,1,0.114
450,»angebot«,1,0.114
451,karin,1,0.114
452,b,1,0.114
453,solle,1,0.114
454,chile,1,0.114
455,projekten,1,0.114
456,fliegen,1,0.114
457,zustande,1,0.114
458,kommt,1,0.114
459,nächsten,1,0.114
460,tag,1,0.114
461,tut,1,0.114
462,geschehen,1,0.114
463,folgezeit,1,0.114
464,vorfälle“,1,0.114
465,bringt,1,0.114
466,teure,1,0.114
467,dokument,1,0.114
468,angst,1,0.114
469,präventionsbeauftragte,1,0.114
470,arbeitsbereich,1,0.114
471,missbrauchsbeauftragte45,1,0.114
472,weiterleitete,1,0.114
473,40,1,0.114
474,gespräche,1,0.114
475,missbrauchsbeauftragten,1,0.114
476,täter,1,0.114
477,form,1,0.114
478,entschul-,1,0.114
479,digt,1,0.114
480,k,1,0.114
481,annehmen,1,0.114
482,geld,1,0.114
483,überwiesen,1,0.114
484,vergleich,1,0.114
485,folgen,1,0.114
486,erlittenen,1,0.114
487,missbrauchs,1,0.114
488,zurücklägen,1,0.114
489,witz,1,0.114
490,wies,1,0.114
491,bekannt,1,0.114
492,anzeigenerstatterin,1,0.114
493,vergangenheit,1,0.114
494,unbegründete,1,0.114
495,personen,1,0.114
496,erhoben,1,0.114
497,ie,1,0.114
498,erhobenen,1,0.114
499,zurückgewiesen,1,0.114
500,ährend,1,0.114
501,beichte,1,0.114
502,erzählte,1,0.114
503,beschuldigten,1,0.114
504,gut,1,0.114
505,gehe,1,0.114
506,zähle,1,0.114
507,alkoholikerin,1,0.114
508,familie,1,0.114
509,gebe,1,0.114
510,tröstete,1,0.114
511,zunächst,1,0.114
512,nett,1,0.114
513,baute,1,0.114
514,trauen,1,0.114
515,machte,1,0.114
516,geschenk,1,0.114
517,kom-,1,0.114
518,plimente,1,0.114
519,sic,1,0.114
520,umarmte,1,0.114
521,küsse,1,0.114
522,gesicht,1,0.114
523,öfter,1,0.114
524,angerufen,1,0.114
525,getrunken,1,0.114
526,schlecht,1,0.114
527,herum,1,0.114
528,viele,1,0.114
529,abgeholt,1,0.114
530,genom-,1,0.114
531,men,1,0.114
532,erstmal,1,0.114
533,situation,1,0.114
534,gesprochen,1,0.114
535,getröstet,1,0.114
536,im-,1,0.114
537,mer,1,0.114
538,intensiver,1,0.114
539,anfing,1,0.114
540,händen,1,0.114
541,t-shirt,1,0.114
542,ge-,1,0.114
543,hen,1,0.114
544,berühren,1,0.114
545,hätten,1,0.114
546,bekamen,1,0.114
547,handlungen,1,0.114
548,steigerung,1,0.114
549,fanden,1,0.114
550,vier,1,0.114
551,lang,1,0.114
552,statt,1,0.114
553,weihnachten,1,0.114
554,fing,1,0.114
555,beide,1,0.114
556,auszuziehen,1,0.114
557,geschlecht,1,0.114
558,befriedigen,1,0.114
559,aussprachen,1,0.114
560,rieb,1,0.114
561,weiteren,1,0.114
562,drang,1,0.114
563,fingern,1,0.114
564,scheide,1,0.114
565,vierten,1,0.114
566,jahr,1,0.114
567,soweit,1,0.114
568,einge-,1,0.114
569,drungen,1,0.114
570,r,1,0.114
571,liebe,1,0.114
572,eh,1,0.114
573,niemand,1,0.114
574,glauben,1,0.114
575,verliebt,1,0.114
576,setzungen,1,0.114
577,trafen,1,0.114
578,holte,1,0.114
579,ab,1,0.114
580,schenkte,1,0.114
581,zugtickets,1,0.114
582,alter,1,0.114
583,16-18,1,0.114
584,jahren,1,0.114
585,s,1,0.114
586,nie,1,0.114
587,geschlechtsverkehr,1,0.114
588,gekommen,1,0.114
589,kir-,1,0.114
590,ausgebucht,1,0.114
591,ermittlungsverfahrens,1,0.114
592,gestand,1,0.114
593,zuvor,1,0.114
594,erklärt,1,0.114
595,vorgehabt,1,0.114
596,bibel,1,0.114
597,vorzulesen,1,0.114
598,sakralen,1,0.114
599,spi­,1,0.114
600,rituellen,1,0.114
601,legitimiert,1,0.114
602,person,1,0.114
603,gefragt,1,0.114
604,propagierten,1,0.114
605,theologie,1,0.114
606,«liebesfreundschaft»,1,0.114
607,einfluss,1,0.114
608,mitglie­,1,0.114
609,gemeinschaft,1,0.114
610,ausgeübt,1,0.114
611,piritueller,1,0.114
612,ermöglichte,1,0.114
613,begangenen,1,0.114
614,reagierte,1,0.114
615,xuellen,1,0.114
616,legitimieren,1,0.114
617,verteidigen,1,0.114
618,trat,1,0.114
619,tun,1,0.114
620,rücktritt,1,0.114
621,zog,1,0.114
622,wiederum,1,0.114
623,arbeit,1,0.114
624,geständig,1,0.114
625,rechtfertigte,1,0.114
626,stellte,1,0.114
627,weshalb,1,0.114
628,gemachten,1,0.114
629,stimmen,1,0.114
630,könnten,1,0.114
631,äusserte,1,0.114
632,ausführlich,1,0.114
633,vorge­,1,0.114
634,hensweise,1,0.114
635,fachgremiums,1,0.114
636,vorverurteile,1,0.114
637,enge,1,0.114
638,treibe,1,0.114
639,so­,1,0.114
640,keinerlei,1,0.114
641,rechtliche,1,0.114
642,grundlagen,1,0.114
643,kompetenzen,1,0.114
644,massnahmen,1,0.114
645,therapie,1,0.114
646,chenrechtlichen,1,0.114
