,term,frequency,percentage
1082,erhebliche,1,0.037
1083,ergebnissen,1,0.037
1084,prüfauftrags,1,0.037
1085,finanzgebaren,1,0.037
1086,auftrag,1,0.037
1087,erteilt,1,0.037
1088,notwendigen,1,0.037
1089,konsequenzen,1,0.037
1090,gezogen,1,0.037
1091,eher,1,0.037
1092,pubertären,1,0.037
1093,»normale«,1,0.037
1094,um-,1,0.037
1095,armungen,1,0.037
1096,unangenehm,1,0.037
1097,empfindet,1,0.037
1098,zulassen,1,0.037
1099,begegnun-,1,0.037
1100,sieht,1,0.037
1101,kategorisiert,1,0.037
1102,beziehung,1,0.037
1103,karin,1,0.037
1104,freundschaftliches,1,0.037
1105,onkelhaftes,1,0.037
1106,bewertet,1,0.037
1107,gasthaus,1,0.037
1108,bluse,1,0.037
1109,gegriffen,1,0.037
1110,schweigen,1,0.037
1111,klaren,1,0.037
1112,worte,1,0.037
1113,weggang,1,0.037
1114,waren.«,1,0.037
1115,kräftig,1,0.037
1116,schamgegend,1,0.037
1117,kleidung,1,0.037
1118,scandalum,1,0.037
1119,gefertigter,1,0.037
1120,ergebenst,1,0.037
1121,sucht.“,1,0.037
1122,braut,1,0.037
1123,drohte,1,0.037
1124,anhal-,1,0.037
1125,tender,1,0.037
1126,verfehlungen,1,0.037
1127,laisierung,1,0.037
1128,„hat,1,0.037
1129,schulmädchen,1,0.037
1130,fortiter,1,0.037
1131,halten[s]“,1,0.037
1132,„wenn,1,0.037
1133,unkontrolliert,1,0.037
1134,weniger,1,0.037
1135,ta-,1,0.037
1136,worten,1,0.037
1137,witzen,1,0.037
1138,usw.“,1,0.037
1139,beeinträchtigend,1,0.037
1140,angenommen,1,0.037
1141,penetration,1,0.037
1142,glied,1,0.037
1143,gleichfalls,1,0.037
1144,selbstbestimmung,1,0.037
1145,aufzwinge].“,1,0.037
1146,„unverschämt[en,1,0.037
1147,schlimm,1,0.037
1148,oma,1,0.037
1149,opa,1,0.037
1150,umarmung,1,0.037
1151,wa,1,0.037
1152,eindringen,1,0.037
1153,willen,1,0.037
1154,opfers,1,0.037
1155,zen,1,0.037
1156,befördert,1,0.037
1157,hingegen,1,0.037
1158,beeinträchtigt,1,0.037
1159,ipp,1,0.037
1160,verleiht,1,0.037
1161,ärger,1,0.037
1162,hinweg,1,0.037
1163,begegnungen,1,0.037
1164,»straf-,1,0.037
1165,rechtlich,1,0.037
1166,ückblickend,1,0.037
1167,abgesehen,1,0.037
1168,strafversetzung,1,0.037
1169,geschichte,1,0.037
1170,konsequen-,1,0.037
1171,eklig,1,0.037
1172,bewegen«,1,0.037
1173,»ja,1,0.037
1174,überhaupt,1,0.037
1175,spät,1,0.037
1176,hingekommen,1,0.037
1177,früher,1,0.037
1178,nachvollziehen,1,0.037
1179,burgsmüller,1,0.037
1180,2014,1,0.037
1181,55,1,0.037
1182,eisele,1,0.037
1183,2012,1,0.037
1184,23,1,0.037
1185,legte,1,0.037
1186,schob,1,0.037
1187,e-mail,1,0.037
1188,aufgenommen,1,0.037
1189,anzurufen,1,0.037
1190,zwischenzeit,1,0.037
1191,ratschlag,1,0.037
1192,professionellen,1,0.037
1193,raterin,1,0.037
1194,gehen,1,0.037
1195,linkisch,1,0.037
1196,empfunden,1,0.037
1197,termin,1,0.037
1198,aus-,1,0.037
1199,zumachen,1,0.037
1200,inhaltliches,1,0.037
1201,verwickelt,1,0.037
1202,per,1,0.037
1203,minuten,1,0.037
1204,gedauert,1,0.037
1205,einfühlsame,1,0.037
1206,nachhinein,1,0.037
1207,fühlte,1,0.037
1208,überrumpelt,1,0.037
1209,ausgefragt,1,0.037
1210,letztlich,1,0.037
1211,»alle«,1,0.037
1212,erneuten,1,0.037
1213,machtmissbrauch,1,0.037
1214,emp-,1,0.037
1215,unangemessen,1,0.037
1216,handy,1,0.037
1217,telefongespräch,1,0.037
1218,30,1,0.037
1219,beziehun-,1,0.037
1220,cousinen,1,0.037
1221,häuserin,1,0.037
1222,leute,1,0.037
1223,gewundert,1,0.037
1224,war.“,1,0.037
1225,vor-,1,0.037
1226,nachbereitung,1,0.037
1227,zumal,1,0.037
1228,wobei,1,0.037
1229,situationen,1,0.037
1230,ergeben,1,0.037
1231,priesterliche,1,0.037
1232,zerstören,1,0.037
1233,voriges,1,0.037
1234,freundliche,1,0.037
1235,verringerte,1,0.037
1236,empfinden,1,0.037
1237,einzelperson,1,0.037
1238,machtapparat,1,0.037
1239,gegenüberzustehen,1,0.037
1240,handlungs-,1,0.037
1241,fähig,1,0.037
1242,geblieben,1,0.037
1243,wofür,1,0.037
1244,entsprechende,1,0.037
1245,empfehlung,1,0.037
1246,fünf,1,0.037
1247,bongartz46,1,0.037
1248,eigene,1,0.037
1249,verletzung,1,0.037
1250,professionelle,1,0.037
1251,schriftlich,1,0.037
1252,ent-,1,0.037
1253,schuldigung,1,0.037
1254,unautorisierten,1,0.037
1255,weitergabe,1,0.037
1256,täter,1,0.037
1257,form,1,0.037
1258,entschul-,1,0.037
1259,beauftragte,1,0.037
1260,geschickt,1,0.037
1261,nachgebessert,1,0.037
1262,details,1,0.037
1263,hilfreich,1,0.037
1264,positiv,1,0.037
1265,erlittene,1,0.037
1266,anerkannt,1,0.037
1267,fällen,1,0.037
1268,sexuellem,1,0.037
1269,vorgegeben,1,0.037
1270,weiterer,1,0.037
1271,absprache,1,0.037
1272,beraterin,1,0.037
1273,verfasst,1,0.037
1274,missbrauchs-,1,0.037
1275,strukturieren,1,0.037
1276,emotionen,1,0.037
1277,sachebene,1,0.037
1278,bringen,1,0.037
1279,mitgeschrieben,1,0.037
1280,anspruch,1,0.037
1281,ausgehändigt,1,0.037
1282,vorgehen,1,0.037
1283,teil,1,0.037
1284,distanziert,1,0.037
1285,angespannt,1,0.037
1286,wirkt,1,0.037
1287,engagiert,1,0.037
1288,zugehört,1,0.037
1289,brauchsbeauftragte,1,0.037
1290,gute,1,0.037
1291,zurücktritt,1,0.037
1292,dafür,1,0.037
1293,rücktritt,1,0.037
1294,fordert,1,0.037
1295,sichtbar,1,0.037
1296,kei-,1,0.037
1297,reihen,1,0.037
1298,dulde,1,0.037
1299,opfern,1,0.037
1300,abgeblockt,1,0.037
1301,charakter,1,0.037
1302,bistumsvertreter*innen,1,0.037
1303,intendiert,1,0.037
1304,wiedergutmachung,1,0.037
1305,unumgänglich,1,0.037
1306,ämtern,1,0.037
1307,digt,1,0.037
1308,annehmen,1,0.037
1309,überwiesen,1,0.037
1310,vergleich,1,0.037
1311,folgen,1,0.037
1312,erlittenen,1,0.037
1313,witz,1,0.037
1314,begleiterin,1,0.037
1315,bistums,1,0.037
1316,wahrgenommen,1,0.037
1317,missbräuchliche,1,0.037
1318,handeln,1,0.037
1319,zurückgewinnen,1,0.037
1320,schien,1,0.037
1321,wichtig,1,0.037
1322,ruf,1,0.037
1323,k.s,1,0.037
1324,eindrücke,1,0.037
1325,ambivalent,1,0.037
1326,einerseits,1,0.037
1327,wohlwollen,1,0.037
1328,echtes,1,0.037
1329,anliegen,1,0.037
1330,seitens,1,0.037
1331,erkannt,1,0.037
1332,wünschenswert,1,0.037
1333,unabhängige,1,0.037
1334,berater,1,0.037
1335,erfah-,1,0.037
1336,rung,1,0.037
1337,geistliche,1,0.037
1338,auskenne,1,0.037
1339,gezeigt,1,0.037
1340,erkennbar,1,0.037
1341,unabhängig,1,0.037
1342,verwoben,1,0.037
1343,therapie,1,0.037
1344,klärung,1,0.037
1345,gebraucht,1,0.037
1346,ziel,1,0.037
1347,vergangenheit,1,0.037
1348,unbegründete,1,0.037
1349,erhoben,1,0.037
1350,telefonisch,1,0.037
1351,erhobenen,1,0.037
1352,zurückgewiesen,1,0.037
1353,#######################,1,0.037
1354,346,1,0.037
1355,zustande,1,0.037
1356,nun-,1,0.037
1357,psychischen,1,0.037
1358,krankheit,1,0.037
1359,begleiten,1,0.037
1360,jugendamt,1,0.037
1361,nervenarzt,1,0.037
1362,verbindung,1,0.037
1363,verschwinden,1,0.037
1364,involviert,1,0.037
1365,ausweislich,1,0.037
1366,aktenvermerks,1,0.037
1367,sommer-,1,0.037
1368,ferien,1,0.037
1369,1982,1,0.037
1370,ursprünglich,1,0.037
1371,schützen,1,0.037
1372,machtposition,1,0.037
1373,intimes,1,0.037
1374,möglicherweise,1,0.037
1375,schwangerschaftsabbruch,1,0.037
1376,niederlanden,1,0.037
1377,gehol-,1,0.037
1378,fen,1,0.037
1379,einbezogen,1,0.037
1380,stadtdechant,1,0.037
1381,zuletzt,1,0.037
1382,untersuchen,1,0.037
1383,recher-,1,0.037
1384,angestellt,1,0.037
1385,könnten,1,0.037
1386,„unkeusche,1,0.037
1387,scheid,1,0.037
1388,geben,1,0.037
1389,ausgestanden,1,0.037
1390,arin,1,0.037
1391,gegebenenfalls,1,0.037
1392,namentlich,1,0.037
1393,bekannte,1,0.037
1394,person,1,0.037
1395,allerdings,1,0.037
1396,eben,1,0.037
1397,stellungnahme,1,0.037
1398,geschrieben,1,0.037
1399,abwarten,1,0.037
1400,beobach-,1,0.037
1401,kannst,1,0.037
1402,erzbischof,1,0.037
1403,326,1,0.037
1404,vorsichtig,1,0.037
1405,befragten,1,0.037
1406,mitbrü-,1,0.037
1407,andeutung,1,0.037
1408,richtung,1,0.037
1409,ohren,1,0.037
1410,unglaubwürdigen,1,0.037
1411,gehört,1,0.037
1412,gesellschaft-,1,0.037
1413,lichen,1,0.037
1414,rechte,1,0.037
1415,mass,1,0.037
1416,hinausrast,1,0.037
1417,staats-,1,0.037
1418,anwaltschaft,1,0.037
1419,obwohl,1,0.037
1420,„nichts,1,0.037
1421,suchen“,1,0.037
1422,klassenraum,1,0.037
1423,„ein,1,0.037
1424,grosses,1,0.037
1425,gelächter,1,0.037
1426,mädchen“,1,0.037
1427,abstand,1,0.037
1428,genüber,1,0.037
1429,„weiblichen,1,0.037
1430,jugend,1,0.037
1431,zurückhaltend“,1,0.037
1432,mittelschulklasse,1,0.037
1433,mädchen)“,1,0.037
1434,befunden,1,0.037
1435,handlungen“,1,0.037
1436,„packen,1,0.037
1437,hintern“,1,0.037
1438,„begreifen,1,0.037
1439,kleinen,1,0.037
1440,messdienerinnen“,1,0.037
1441,dr,1,0.037
1442,heße,1,0.037
1443,geschenk,1,0.037
1444,plimente,1,0.037
1445,umarmte,1,0.037
1446,küsse,1,0.037
1447,gesicht,1,0.037
1448,öfter,1,0.037
1449,getrunken,1,0.037
1450,schlecht,1,0.037
1451,gehe,1,0.037
1452,alkoholikerin,1,0.037
1453,familie,1,0.037
1454,gebe,1,0.037
1455,tröstete,1,0.037
1456,nett,1,0.037
1457,baute,1,0.037
1458,trauen,1,0.037
1459,krankenhausseelsorger,1,0.037
1460,gefährlichkeits-,1,0.037
1461,prognostischen,1,0.037
1462,überlegungen,1,0.037
1463,bedenken,1,0.037
1464,„während,1,0.037
1465,beichte,1,0.037
1466,erzählte,1,0.037
1467,lediglich,1,0.037
1468,beleidigung,1,0.037
1469,eingestuft,1,0.037
1470,anfassen,1,0.037
1471,kleiner,1,0.037
1472,messdienerin-,1,0.037
1473,einsatz“,1,0.037
1474,„als,1,0.037
1475,drungen,1,0.037
1476,schluss,1,0.037
1477,dagegen,1,0.037
1478,gewehrt,1,0.037
1479,aufhören,1,0.037
1480,müsse,1,0.037
1481,erklärte,1,0.037
1482,eh,1,0.037
1483,führte,1,0.037
1484,befriedigen,1,0.037
1485,rieb,1,0.037
1486,drang,1,0.037
1487,fingern,1,0.037
1488,scheide,1,0.037
1489,vierten,1,0.037
1490,soweit,1,0.037
1491,bekamen,1,0.037
1492,handlungen,1,0.037
1493,steigerung,1,0.037
1494,fanden,1,0.037
1495,statt,1,0.037
1496,fing,1,0.037
1497,beide,1,0.037
1498,auszuziehen,1,0.037
1499,abgeholt,1,0.037
1500,genom-,1,0.037
1501,erstmal,1,0.037
1502,getröstet,1,0.037
1503,anfing,1,0.037
1504,t-shirt,1,0.037
1505,berühren,1,0.037
1506,on,1,0.037
1507,sexu-,1,0.037
1508,ellen,1,0.037
1509,entwickelten,1,0.037
1510,besuches,1,0.037
1511,erichtete,1,0.037
1512,intimen,1,0.037
1513,verhältnissen,1,0.037
1514,vergangenen,1,0.037
1515,beschul-,1,0.037
1516,digten,1,0.037
1517,„zivilrechtl,1,0.037
1518,vorliegt“,1,0.037
1519,beschreibt,1,0.037
1520,ansprechperson,1,0.037
1521,märz,1,0.037
1522,2007,1,0.037
1523,schenkte,1,0.037
1524,zugtickets,1,0.037
1525,besuchen,1,0.037
1526,nachdem,1,0.037
1527,beendet,1,0.037
1528,„wir,1,0.037
1529,prüfen,1,0.037
1530,anhand,1,0.037
1531,niemand,1,0.037
1532,verliebt,1,0.037
1533,innerhalb,1,0.037
1534,setzungen,1,0.037
1535,trafen,1,0.037
1536,weiterhin,1,0.037
1537,holte,1,0.037
1538,ab,1,0.037
1539,indiz,1,0.037
1540,geschlechtlicher,1,0.037
1541,zwi-,1,0.037
1542,schen,1,0.037
1543,gleichaltrigen,1,0.037
1544,derkehrenden,1,0.037
1545,besucher,1,0.037
1546,gefahr,1,0.037
1547,anzeigeerstatter,1,0.037
1548,unberech-,1,0.037
1549,tigte,1,0.037
1550,erheben,1,0.037
1551,zölibats,1,0.037
1552,stoßen,1,0.037
1553,zölibatsverstoß,1,0.037
1554,dokument,1,0.037
1555,gelangen,1,0.037
1556,vorgehabt,1,0.037
1557,bibel,1,0.037
1558,vorzulesen,1,0.037
1559,akte,1,0.037
1560,e-mails,1,0.037
1561,katecheten,1,0.037
1562,behaupten,1,0.037
1563,2009,1,0.037
1564,verantwortlichen,1,0.037
1565,katechet,1,0.037
1566,kirchlichen,1,0.037
1567,ausfluges,1,0.037
1568,nachts,1,0.037
1569,zweier,1,0.037
1570,16-jähriger,1,0.037
1571,kirchenrecht,1,0.037
1572,darstellen,1,0.037
1573,zöfra,1,0.037
1574,verein,1,0.037
1575,zölibat,1,0.037
1576,schweiz,1,0.037
1577,berichteten,1,0.037
1578,«komischen,1,0.037
1579,konsultierten,1,0.037
1580,archiven,1,0.037
1581,dokumentiert,1,0.037
1582,beson­,1,0.037
1583,ders,1,0.037
1584,schweren,1,0.037
1585,verstoss,1,0.037
1586,katholische,1,0.037
1587,tems,1,0.037
1588,hinsicht,1,0.037
1589,bewerten,1,0.037
1590,einzig,1,0.037
1591,sollizitation281,1,0.037
1592,spiritual,1,0.037
1593,ordens­,1,0.037
1594,mitglied,1,0.037
1595,beruf,1,0.037
1596,vertrauensseligkeit,1,0.037
1597,cum,1,0.037
1598,mulieribus,1,0.037
1599,verdächtig,1,0.037
1600,oft,1,0.037
1601,außerhalb,1,0.037
1602,sys-,1,0.037
